date,insta_handle,likes,likes_nan,momentum_absolute,momentum_relative,date_string,percentile_rma,percentile_relmomentum
2022-03-14 00:00:00+00:00,jordan_poole,3147.2,94416.0,-7703.0,-0.07543160430478167,2022-03-14 ,6.562467108725397,24.739501105146825
2022-03-15 00:00:00+00:00,jordan_poole,3147.2,94416.0,-7703.0,-0.07543160430478167,2022-03-15 ,6.562467108725397,24.739501105146825
2022-03-16 00:00:00+00:00,jordan_poole,3147.2,94416.0,-7703.0,-0.07543160430478167,2022-03-16 ,6.562467108725397,24.739501105146825
2022-03-17 00:00:00+00:00,jordan_poole,3147.2,94416.0,-7703.0,-0.07543160430478167,2022-03-17 ,6.562467108725397,24.739501105146825
2022-03-18 00:00:00+00:00,jordan_poole,3147.2,94416.0,-7703.0,-0.07543160430478167,2022-03-18 ,6.562467108725397,24.739501105146825
2022-03-19 00:00:00+00:00,jordan_poole,3147.2,94416.0,-7812.6666666666715,-0.07642344286990607,2022-03-19 ,6.562467108725397,24.59214819492685
2022-03-20 00:00:00+00:00,jordan_poole,4065.322222222222,91469.75,-10758.916666666672,-0.10524363681420089,2022-03-20 ,6.025681507209767,20.403115461530366
2022-03-21 00:00:00+00:00,jordan_poole,3495.722222222222,104871.66666666667,2643.0,0.025853804868823486,2022-03-21 ,8.057046626670877,43.9690558888538
2022-03-22 00:00:00+00:00,jordan_poole,3495.722222222222,104871.66666666667,2643.0,0.025853804868823486,2022-03-22 ,8.057046626670877,43.9690558888538
2022-03-23 00:00:00+00:00,jordan_poole,3495.722222222222,104871.66666666667,2643.0,0.025853804868823486,2022-03-23 ,8.057046626670877,43.9690558888538
2022-03-24 00:00:00+00:00,jordan_poole,3495.722222222222,104871.66666666667,2643.0,0.025853804868823486,2022-03-24 ,8.057046626670877,43.9690558888538
2022-03-25 00:00:00+00:00,jordan_poole,3495.722222222222,104871.66666666667,2643.0,0.025853804868823486,2022-03-25 ,8.057046626670877,43.9690558888538
2022-03-26 00:00:00+00:00,jordan_poole,3495.722222222222,104871.66666666667,2643.0,0.025853804868823486,2022-03-26 ,8.057046626670877,43.9690558888538
2022-03-27 00:00:00+00:00,jordan_poole,3495.722222222222,104871.66666666667,12323.916666666672,0.13316279073955523,2022-03-27 ,8.057046626670877,57.89390590464161
2022-03-28 00:00:00+00:00,jordan_poole,3495.722222222222,104871.66666666667,12323.916666666672,0.13316279073955523,2022-03-28 ,8.057046626670877,57.89390590464161
2022-03-29 00:00:00+00:00,jordan_poole,3495.722222222222,104871.66666666667,12323.916666666672,0.13316279073955523,2022-03-29 ,8.057046626670877,57.89390590464161
2022-03-30 00:00:00+00:00,jordan_poole,3495.722222222222,104871.66666666667,12323.916666666672,0.13316279073955523,2022-03-30 ,8.057046626670877,57.89390590464161
2022-03-31 00:00:00+00:00,jordan_poole,4380.811111111111,98568.25,6020.5,0.06505290512195055,2022-03-31 ,7.057151878749606,49.600042100831494
2022-04-01 00:00:00+00:00,jordan_poole,4380.811111111111,98568.25,6020.5,0.06505290512195055,2022-04-01 ,7.057151878749606,49.600042100831494
2022-04-02 00:00:00+00:00,jordan_poole,4380.811111111111,98568.25,6020.5,0.06505290512195055,2022-04-02 ,7.057151878749606,49.600042100831494
2022-04-03 00:00:00+00:00,jordan_poole,4380.811111111111,98568.25,6020.5,0.06505290512195055,2022-04-03 ,7.057151878749606,49.600042100831494
2022-04-04 00:00:00+00:00,jordan_poole,4380.811111111111,98568.25,6020.5,0.06505290512195055,2022-04-04 ,7.057151878749606,49.600042100831494
2022-04-05 00:00:00+00:00,jordan_poole,4380.811111111111,98568.25,6020.5,0.06505290512195055,2022-04-05 ,7.057151878749606,49.600042100831494
2022-04-06 00:00:00+00:00,jordan_poole,4380.811111111111,98568.25,6020.5,0.06505290512195055,2022-04-06 ,7.057151878749606,49.600042100831494
2022-04-07 00:00:00+00:00,jordan_poole,4380.811111111111,98568.25,6020.5,0.06505290512195055,2022-04-07 ,7.057151878749606,49.600042100831494
2022-04-08 00:00:00+00:00,jordan_poole,4380.811111111111,98568.25,6020.5,0.06505290512195055,2022-04-08 ,7.057151878749606,49.600042100831494
2022-04-09 00:00:00+00:00,jordan_poole,5233.8,94208.4,1660.6499999999942,0.01794371013882017,2022-04-09 ,6.41511419850542,42.379749500052625
2022-04-10 00:00:00+00:00,jordan_poole,5233.8,94208.4,1660.6499999999942,0.01794371013882017,2022-04-10 ,6.41511419850542,42.379749500052625
2022-04-11 00:00:00+00:00,jordan_poole,5233.8,94208.4,-207.60000000000582,-0.0021987798678190754,2022-04-11 ,6.41511419850542,36.39090622039785
